S.N.,Symbol,Company,Listed Share,Paid-up (Rs),Total Paid-up Capital (Rs),Market Capitalization (Rs),Date of Operation,LTP,As Of:
1,NMB,NMB Bank Limited,"192,850,413.00",100,"19,285,041,300.00","45,744,117,963.60",2015-10-18,237.2,2026-02-01
2,SBL,Siddhartha Bank Limited,"147,944,792.00",100,"14,794,479,200.00","56,973,539,399.20",2002-12-24,385.1,2026-02-01
3,KBL,Kumari Bank Limited,"262,258,613.00",100,"26,225,861,300.00","49,566,877,857.00",2001-04-03,189,2026-02-01
4,MBL,Machhapuchchhre Bank Limited,"120,862,116.00",100,"12,086,211,600.00","27,556,562,448.00",2012-07-09,228,2026-02-01
5,EBL,Everest Bank Limited,"137,213,760.00",100,"13,721,376,000.00","91,727,398,560.00",1994-10-18,668.5,2026-02-01
6,SBI,Nepal SBI Bank Limited,"113,351,244.00",100,"11,335,124,400.00","46,462,674,915.60",1993-07-07,409.9,2026-02-01
7,HBL,Himalayan Bank Limited,"225,816,627.00",100,"22,581,662,700.00","43,334,210,721.30",1993-01-18,191.9,2026-02-01
8,SCB,Standard Chartered Bank Nepal Limited,"100,423,684.00",100,"10,042,368,400.00","63,417,556,446.00",1987-02-28,631.5,2026-02-01
9,NABIL,Nabil Bank Limited,"270,569,984.00",100,"27,056,998,400.00","134,770,909,030.40",1984-07-12,498.1,2026-02-01
10,CZBIL,Citizens Bank International Limited,"155,074,638.00",100,"15,507,463,800.00","30,875,360,425.80",2007-04-20,199.1,2026-02-01
11,PCBL,Prime Commercial Bank Limited,"209,547,820.00",100,"20,954,782,000.00","49,872,381,160.00",2007-09-24,238,2026-02-01
12,ADBL,Agricultural Development Bank Limited,"143,055,192.00",100,"14,305,519,200.00","42,644,752,735.20",1968-01-21,298.1,2026-02-01
13,SANIMA,Sanima Bank Limited,"135,815,256.00",100,"13,581,525,600.00","44,982,012,787.20",2012-02-15,331.2,2026-02-01
14,NBL,Nepal Bank Limited,"146,940,230.00",100,"14,694,023,000.00","36,147,296,580.00",1937-11-15,246,2026-02-01
15,GBIME,Global IME Bank Limited,"381,158,528.00",100,"38,115,852,800.00","86,866,028,531.20",2014-04-09,227.9,2026-02-01
16,NICA,NIC Asia Bank Limited,"149,175,670.00",100,"14,917,567,000.00","49,302,558,935.00",2013-06-30,330.5,2026-02-01
17,PRVU,Prabhu Bank Limited,"235,424,899.00",100,"23,542,489,900.00","44,024,456,113.00",2014-09-15,187,2026-02-01
18,NIMB,Nepal Investment Mega Bank Limited,"341,285,949.00",100,"34,128,594,900.00","65,526,902,208.00",2023-01-11,192,2026-02-01
19,LSL,Laxmi Sunrise Bank Limited,"267,811,635.00",100,"26,781,163,500.00","57,017,097,091.50",2023-07-14,212.9,2026-02-01