S. No.,Banks,Year(Month),Solvency Core Capital,Total C a pital Fund,CCAR# (In %),CAR# (In %),Liquidity Total Deposit,LCY Deposit,Total Loan,L C Y L o an,CCD R a t i o * (In %),Net Liquidity (In %),SLR (In %),Base Rate (In %),Spread (In %),NPL* (In %),Net NPL (In %),Total Priority Sector Loan,Public Deposit
5,Nepal Investment Bank Ltd.,2079(03),29560,38103,12.41,15.99,186212,173368,168160,163140,85.14,32.15,23.61,8.59,4,1.47,,20.47,103449
6,Standard Chartered Bank Nepal Ltd.,2079(03),16910,18729,14.45,16,101946,81294,89616,88110,87.44,28.24,15.39,8.81,4.23,0.59,,19.23,52806
7,Himalayan Bank Ltd.,2079(03),20567,22889,10.45,11.63,171488,159518,156446,153277,88.8,23.48,25.21,9.96,4.02,0.77,,22.59,85532
8,Nepal SBI Bank Ltd.,2079(03),15965,20359,10.44,13.32,119658,118255,110694,106549,86.87,27.8,21.51,9.7,4.36,0.15,,24.59,68146
9,Everest Bank Ltd.,2079(03),19928,21960,10.84,11.95,173472,170896,154557,153687,85.77,33.67,22.79,9.67,4.06,0.24,,21.67,109659
10,Bank of Kathmandu Ltd.,2079(03),15833,17165,11.93,12.94,110962,109646,106724,105699,88.91,26.27,18.4,9.83,3.61,1.96,,23.46,59226
11,Nepal Credit and Commerce Bank Ltd.,2079(03),15172,19992,9.2,12.12,141486,138957,126927,125662,86.3,24.39,16.26,9.54,4.22,1.93,,29.36,66290
12,NIC Asia Bank Ltd.,2079(03),22863,34573,8.93,13.51,294977,294529,268236,268236,86.26,20.3,19.7,9.25,4.4,0.49,,23.66,171610
13,Machhapuchhre Bank Ltd.,2079(03),13704,20965,8.81,13.47,148698,142398,129555,128705,81.6,25.99,17.65,9.93,4.33,0.84,,25.08,92188
14,Kumari Bank Ltd.,2079(03),19297,25013,10.01,12.98,182962,178657,159444,157581,85.12,24.81,15.79,10.57,4.36,0.96,,24.88,86679
15,Laxmi Bank Ltd.,2079(03),15179,21294,9.09,12.76,139945,136912,132569,131093,86.72,21.88,13.68,9.98,3.94,0.89,,22.12,88169
16,Siddharth Bank Ltd.,2079(03),19772,28327,9.14,13.09,196484,195150,186091,184662,86.78,21.51,18.29,9.45,4.37,1.03,,25.32,114733
17,Global IME Bank Ltd.,2079(03),33595,41492,10.3,12.72,286560,283430,272212,271521,89.31,23.55,18.11,9.54,4.15,1.22,,23.78,177992
18,Citizens Bank International Ltd.,2079(03),19016,23093,10.73,13.02,155140,149383,135776,135776,85.12,25.25,18.01,10.09,4.25,1.87,,29.72,91248
19,Prime Commercial Bank Ltd.,2079(03),25729,27980,12.26,13.33,165418,163063,154920,154632,87.24,26.87,17.46,9.99,4.37,1.4,,24.31,74266
20,Sunrise Bank Ltd.,2079(03),14565,19745,9.18,12.45,134783,131696,123771,123734,86.77,25.13,18.11,10.01,4.37,1.4,,30.94,85374
21,NMB Bank Ltd.,2079(03),24900,32539,10.53,13.76,186400,182841,182090,178535,85.55,27.99,18.79,9.4,4.05,1.33,,31.78,113865
22,Prabhu Bank Ltd.,2079(03),16612,24557,8.9,13.16,182141,181484,150406,150283,78.35,26.66,22.07,9.24,4.32,1.2,,22.73,106837
23,Mega Bank Nepal Ltd.,2079(03),21187,23304,11.2,12.32,156488,154974,150043,148988,86.96,25.59,16.51,10.01,4.36,0.78,,27.59,100284
24,Civil Bank Ltd.,2079(03),11476,15661,11.76,16.05,96039,94270,87092,80979,88.15,25.68,20.55,10.69,4.29,1.08,,25.43,67694
25,Century Commercial Bank Ltd.,2079(03),11533,15016,10.4,13.54,101402,99518,91467,91467,87.73,25.06,18.89,10.67,4.03,1.59,,23.69,76686
26,Sanima Bank Ltd.,2079(03),15282,21752,9.66,13.75,158883,154998,140829,138913,82.39,27.07,21.19,9.71,3.86,0.35,,25.85,99720
,Sub Total,2079(03),462682,588847,10.45,13.29,3921116,3812876,3586694,3544869,86.34,25.38,19.37,9.71,4.18,1.09,,24.86,2260565
,Grand Total,2079(03),549400,692897,10.73,13.53,4544362,4435425,4175443,4133616,86.47,25.48,19.88,9.54,4.19,1.2,,27.44,2708238
1,Nepal Bank Ltd.,2079(06),25219,31312,12.43,15.43,197164,196816,175768,175765,84.93,20.06,23.65,9.47,3.66,2.36,,37.73,164750
2,Rastriya Banijya Bank Ltd.,2079(06),29963,35449,11.88,14.06,261748,261519,228014,228005,84.69,24.79,23.16,8.85,4.26,2.48,,36.79,177795
3,Agriculture Dev. Bank Ltd.,2079(06),32647,37708,13.88,16.03,164548,164235,177502,177502,88.64,22.98,25.36,9.83,3.89,2.38,,58.72,108608
,Sub Total,2079(06),87828,104468,12.72,15.13,623460,622570,581284,581272,85.9,22.82,23.89,9.34,4.01,2.41,,43.79,451154
4,Nabil Bank Ltd.,2079(06),45341,55608,10.69,13.11,339331,326045,314395,309558,90.4,22.13,20.58,9.72,4.03,2.33,,22.18,184824
5,Nepal Investment Bank Ltd.,2079(06),30059,38890,11.93,15.44,193578,181074,178505,173553,86.12,26.88,24.22,9.39,3.89,1.57,,22.43,105316
6,Standard Chartered Bank Nepal Lt,2079(06),0.17748,19590,14.11,15.57,109296,87096,89857,87521,83.95,37.98,13.69,9.26,3.87,0.77,,18.82,55318
7,Himalayan Bank Ltd.,2079(06),20427,25465,10.16,12.67,174079,160631,161439,158749,88.83,23.21,20.96,10.65,3.9,2.31,,22.92,87426
8,Nepal SBI Bank Ltd.,2079(06),16345,20809,10.28,13.09,127347,123354,116399,112197,83.25,25.61,23.74,10.61,4.01,0.36,,25.91,71763
9,Everest Bank Ltd.,2079(06),20760,24808,11.21,13.39,174420,170810,156301,155311,86.01,26.41,24.48,9.72,4.17,0.33,,23.54,114830
10,Bank of Kathmandu Ltd.,2079(06),16144,18537,12.21,14.02,110119,108902,105594,105407,88.91,23.72,23.06,10.87,4.24,2.46,,23.2,60445
11,Nepal Credit and Commerce Bank,2079(06),0.14692,19474,9.05,12,130971,128028,118855,117199,88.26,22.94,18.06,10.95,3.85,2.46,,26.23,63615
12,NIC Asia Bank Ltd.,2079(06),23770,34668,8.95,13.05,308176,307778,273103,273103,83.84,21.85,21.38,10.67,4.39,0.59,,23.61,182676
13,Machhapuchhre Bank Ltd.,2079(06),14015,21214,8.71,13.19,147558,141434,134313,133392,86.33,21.45,20.07,10.77,4.19,1.3,,24.96,95928
14,Kumari Bank Ltd.,2079(06),19910,28553,9.56,13.7,177466,173865,161538,159944,88.36,22.82,20.8,10.99,4.13,1.28,,26.1,85697
15,Laxmi Bank Ltd.,2079(06),15457,21623,9.13,12.77,140349,137028,131890,130203,87.1,21.14,14.46,10.65,4.09,1.72,,21.44,90319
16,Siddharth Bank Ltd.,2079(06),19985,27372,9.13,12.51,196785,195355,187273,185956,88.22,21.38,21.5,10.44,3.93,2.15,,25.52,117132
17,GlobalIME Bank Ltd.,2079(06),33752,42040,10.26,12.78,289254,286493,274733,274327,90.58,22.4,18.57,10.61,3.86,2.1,,25.83,181033
18,Citizens Bank International Ltd.,2079(06),18670,22724,10.18,12.39,156568,150870,139685,139660,87.66,21.82,18.51,11.15,3.8,2.89,,30.21,96889
19,Prime Commercial Bank Ltd.,2079(06),25587,27958,12,13.11,162220,158876,154322,152677,88.57,24.41,21.5,10.91,4.31,1.8,,24.98,75434
20,Sunrise Bank Ltd.,2079(06),14314,19635,9.18,12.6,128511,125370,123246,123103,89.48,21.9,19.87,10.94,4.13,2.94,,31.41,84652
21,NMB Bank Ltd.,2079(06),24866,30998,10.92,13.61,182201,179607,186097,182719,86.94,25.23,19.62,10.28,3.79,1.9,,31.45,115013
22,Prabhu Bank Ltd.,2079(06),17062,24957,8.66,12.67,173828,172767,154630,154564,85.1,22.85,22.41,10.51,3.98,1.68,,21.14,109192
23,Mega Bank Nepal Ltd.,2079(06),19277,21943,9.89,11.26,157443,155792,153956,152636,88.37,22.83,18.59,10.84,4.05,2.65,,27.93,97234
24,Civil Bank Ltd.,2079(06),11780,16013,11.77,16,94356,92531,86984,81208,86.73,24.33,23.14,11.4,4.32,1.41,,25.84,45153
25,Century Commercial Bank Ltd.,2079(06),11372,14930,10.04,13.18,97296,95850,87451,87445,88.4,22.46,21.46,11.12,3.72,1.88,,23.62,45781
26,Sanima Bank Ltd.,2079(06),15066,21729,9.03,13.03,153185,148780,147944,145678,86.17,22.89,21.87,10.5,3.91,0.91,,29.63,105066
,Sub Total,2079(06),466399,599540,10.26,13.19,3924340,3808337,3638511,3596112,87.42,23.53,20.63,10.51,4.03,1.74,,25.12,2270737
,Grand Total,2079(06),554228,704009,10.59,13.45,4547800,4430907,4219795,4177385,87.21,23.43,21.09,10.34,4.03,1.83,,27.71,2721890
1,Nepal Bank Ltd.,2079(09),23640,29842,11.37,14.35,213717,213226,178406,178403,82.91,25.58,24.07,10.7,4.26,3.11,,29.15,186010
2,Rastriya Banijya Bank Ltd.,2079(09),29675,35683,10.98,13.2,282114,281797,235530,235521,81.59,22.29,25.42,9.7,4.06,2.79,,36.98,180659
3,Agriculture Dev. Bank Ltd.,2079(09),30298,35340,12.71,14.83,172971,172737,179727,179727,87.5,24.1,23.93,11.06,3.74,4.52,,57.5,112756
,Sub Total,2079(09),83613,100866,11.67,14.08,668801,667760,593662,593650,83.66,23.81,23.65,10.46,4.23,3.41,,32.86,479424
4,Nabil Bank Ltd.,2079(09),43079,53165,10.05,12.4,354182,343100,324840,319586,89.36,22.77,20.91,10.34,4.48,2.98,,23.58,195222
5,Nepal Investment Mega Bank Ltd.,2079(09),46500,58050,10.64,13.28,358281,347266,331120,325674,86.81,22.22,19.71,9.85,4.11,3.71,,26.23,206484
6,Standard Chartered Bank Nepal Ltd.,2079(09),16658,18564,13.38,14.91,112462,91382,95788,94192,78.73,33.53,15.75,9.67,3.93,0.72,,25.81,58313
7,Himalayan Bank Ltd.,2079(09),19301,24434,9.58,12.12,180524,166534,162865,161232,87.11,23.51,19.19,11.03,4.15,3.77,,24.61,88569
8,Nepal SBI Bank Ltd.,2079(09),16103,20535,9.93,12.66,133887,130062,125069,119788,84.02,23.41,24.17,10.84,4.4,0.47,,31.84,76029
9,Everest Bank Ltd.,2079(09),20034,24186,10.28,12.41,181580,177576,164453,163044,86.98,38,21.59,10.16,4.38,0.55,,26.4,123766
10,NIC Asia Bank Ltd.,2079(09),24080,34804,9.12,13.18,308698,308164,266667,266667,84.11,22.47,19.88,11.02,4.39,0.61,,26.26,185026
11,Machhapuchhre Bank Ltd.,2079(09),13976,21341,8.64,13.2,153451,147545,133360,133048,85.02,23.05,21.08,11.39,4.25,1.41,,25.69,98971
12,Kumari Bank Ltd.,2079(09),32161,45957,8.91,12.73,302966,297055,282648,281074,90.7,20.09,17.82,11.73,4.42,3.15,,30.91,160181
13,Laxmi Bank Ltd.,2079(09),15864,22058,9.31,12.94,146147,142778,134281,132731,87.87,21.83,14.46,11.37,4.31,1.56,,22.53,94029
14,Siddhartha Bank Ltd.,2079(09),20263,27206,9.18,12.33,210259,208412,184757,183417,84.16,25.45,24.16,10.91,4.22,2.87,,27,122718
15,Global IME Bank Ltd.,2079(09),47123,58265,10.17,12.57,413689,408983,379882,379282,89.41,23.05,22.37,10.85,4.38,2.92,,25.65,255665
16,Citizens Bank International Ltd.,2079(09),17673,21789,9.6,11.84,161448,157002,142540,142130,87.47,22.04,19.89,11.39,4.31,2.99,,30.83,100147
17,Prime Commercial Bank Ltd.,2079(09),24243,26878,11.27,12.49,168072,164175,156850,156055,88.88,25.53,21.75,11.34,4.33,2.81,,27.13,77663
18,Sunrise Bank Ltd.,2079(09),14541,19822,9.3,12.67,134781,131530,122513,122423,87.27,24.82,21.4,11.62,4.08,3.36,,32.44,88567
19,NMB Bank Ltd.,2079(09),24006,30174,10.14,12.74,194931,192484,190313,187115,87.24,25.4,22.12,10.78,4.19,2.24,,32.9,121018
20,Prabhu Bank Ltd.,2079(09),27514,39691,8.9,12.84,276494,274155,250273,250206,85.83,21.64,24.85,11.44,4.34,1.98,,22.55,160532
21,Civil Bank Ltd.,2079(09),11725,16085,11.68,16.02,95414,93360,87572,87261,85.68,22.11,23.2,12.13,4,2.41,,26.08,46333
22,Sanima Bank Ltd.,2079(09),15670,22277,9.42,13.39,160247,156044,146883,145026,83.09,24.86,24.18,10.8,4.39,0.77,,29.08,109453
,Sub Total,2079(09),450514,585284,9.88,12.84,4047513,3937606,3682672,3649951,86.99,23.95,21.1,10.93,4.27,2.35,,28.28,2368688
,Grand Total,2079(09),534127,686149,10.13,13.01,4716314,4605366,4276334,4243601,86.53,23.93,21.47,10.86,4.28,2.49,,28.88,2848113
1,Nepal Bank Ltd.,2079(12),23740,29426,11.21,13.9,230057,229473,181761,181759,78.6,29.98,27.27,9.69,4.1,4.16,,38.14,198346
2,Rastriya Banijya Bank Ltd.,2079(12),29858,35784,11.57,13.86,304389,304001,243432,243432,79.83,26.93,25.25,8.47,4.06,3.88,,38.71,186552
3,Agriculture Dev. Bank Ltd.,2079(12),30966,35547,12.92,14.83,181664,181521,180603,180603,86.29,25.28,23.66,10.27,4.13,4.2,,62.09,118506
,Sub Total,2079(12),84565,100758,11.92,14.2,716111,714995,605796,605794,81.23,27.49,25.49,9.48,4.1,4.06,,45.68,503404
4,Nabil Bank Ltd.,2079(12),44184,54141,10.07,12.34,369566,356961,332002,327939,87.68,22.93,21.7,9.81,5.15,3.87,,25.46,207158
5,Nepal Investment Mega Bank Ltd.,2079(12),47268,59132,11.18,13.99,353625,344170,323898,319398,87.18,24.94,19.21,10.16,4.98,3.94,,24.15,209537
6,Standard Chartered Bank Nepal Lt,2079(12),0.17752,21615,13.66,16.63,112393,96177,95328,93597,80.13,36.95,21.87,9.27,4.2,0.9,,23.52,61393
7,Himalayan Bank Ltd.,2079(12),29009,39153,9.58,12.93,269446,253043,251143,251104,90.48,20.13,17.98,11.15,4.72,4.56,,25.56,137038
8,Nepal SBI Bank Ltd.,2079(12),16546,21059,9.99,12.71,140265,136600,124580,118664,82.18,29.56,24.2,10.94,4.17,0.97,,33.32,79026
9,Everest Bank Ltd.,2079(12),20546,24736,10.15,12.22,186879,182686,167403,166587,86.78,29.58,25.29,9.87,4.2,0.7,,20.58,127262
10,NIC Asia Bank Ltd.,2079(12),23941,34200,8.85,12.64,316545,315617,277700,277700,85.01,20.51,19.18,10.48,4.19,0.85,,28.29,189732
11,Machhapuchhre Bank Ltd.,2079(12),13999,21145,8.7,13.13,154229,148757,131067,130971,81.86,26.05,23.35,11.17,4.18,2.37,,25.08,100917
12,Kumari Bank Ltd.,2079(12),32016,45582,9.01,12.82,312352,306946,286983,285416,90.11,20.9,18.67,10.93,5.19,3.97,,31.29,160617
13,Laxmi Bank Ltd.,2079(12),15849,22468,9.27,13.14,150415,146822,136161,134529,85.38,21.1,16.02,11.08,4.19,1.82,,23.86,96925
14,Siddharth Bank Ltd.,2079(12),20123,27025,8.95,12.02,216964,213759,189542,188086,83,27.84,25.24,10.45,4.19,3.95,,27.38,128226
15,GlobalIME Bank Ltd.,2079(12),47646,58528,10.34,12.7,419571,414024,379543,378949,87.17,25.79,21.97,10.6,5.2,3.96,,27.1,264384
16,Citizens Bank International Ltd.,2079(12),17969,22050,9.67,11.87,162258,157940,143118,143012,87.06,21.79,18.66,11.14,4.2,3.98,,30.22,102536
17,Prime Commercial Bank Ltd.,2079(12),24706,27307,11.27,12.46,169143,165612,158801,158801,89.13,25.1,20.6,11.01,4.19,3.06,,27.6,80765
18,Sunrise Bank Ltd.,2079(12),14800,20153,9.59,13.06,134563,130944,123009,123005,87.33,24.06,21.66,11.34,4.15,3.62,,33.09,89792
19,NMB Bank Ltd.,2079(12),24169,30313,10.12,12.7,200065,197379,192663,189529,87.07,27.13,21.31,10.51,4.19,2.96,,31.99,126231
20,Prabhu Bank Ltd.,2079(12),27104,36607,8.61,11.63,282118,279860,246046,245987,87.72,22.2,19.03,11.07,5.16,3.48,,21.69,163663
21,Sanima Bank Ltd.,2079(12),15798,22503,9.44,13.45,165301,160531,147047,145133,82.45,26.33,25.55,10.63,4.2,2.26,,28.17,113569
,Sub Total,2079(12),453424,587716,9.89,12.81,4115696,4007829,3706035,3678407,86.52,24.46,20.92,10.65,4.48,3.1,,26.93,2438770
,Grand Total,2079(12),537989,688473,10.16,13,4831807,4722824,4311832,4284200,85.75,24.91,21.61,10.48,4.43,3.23,,29.51,2942174
1,Nepal Bank Limited,2080(03),24959,31298,11.56,14.49,245789,245285,186381,186378,75.23,33.49,30.92,9.92,3.95,2.85,,40.42,210670
2,Rastriya Banijya Bank,2080(03),30065,36143,11.35,13.65,322982,321862,248358,248358,75.57,32.05,28.75,7.79,3.98,2.94,,39.02,210584
3,Agriculture Development Bank,2080(03),30689,35250,12.78,14.68,199662,199483,182815,182815,83.17,30.1,27.39,10.06,3.94,2.48,,64.11,130264
,Sub Total,2080(03),85713,102691,11.89,14.24,768434,766631,617554,617551,77.56,32,29.11,9.09,4.02,2.78,,47.03,551518
4,Nabil Bank Limited,2080(03),47073,56946,10.46,12.65,402657,391344,341455,337705,87.12,27.86,22.52,9.45,4.99,3.2,,25.29,221550
5,Nepal Investment Mega Bank Limited,2080(03),48822,59465,11.58,14.1,358798,348859,320596,315900,85.99,29.43,21.17,9.36,4.99,4.35,,24.96,216032
6,Standard Chartered Bank Nepal Limited,2080(03),18606,22413,14.22,17.12,122493,103733,95070,93419,75.78,37.05,27.95,9.02,4,1.17,,23.82,64898
7,Himalayan Bank Limited,2080(03),29421,39074,9.96,13.22,278527,262098,242756,242714,86.4,27.38,19.55,10.92,4.93,4.56,,24.98,137200
8,Nepal SBI Bank Limited,2080(03),16944,21007,10.31,12.78,150724,144926,122725,120479,79.37,33.51,29.44,10.59,3.99,2.43,,31.24,79729
9,Everest Bank Limited,2080(03),22200,26401,11.2,13.32,199148,195956,168124,167295,82.31,33.23,26.27,9.47,3.97,0.79,,21.99,133276
10,NIC ASIA Bank Limited,2080(03),25058,35248,9.52,13.39,314310,313488,271594,271594,84.24,22.23,19.83,9.98,3.99,0.8,,28.77,194954
11,Machhapuchhre Bank Limited,2080(03),14386,21434,9.1,13.57,158285,153327,128768,128599,80.61,29.43,23.78,10.64,3.95,2.12,,24.95,105550
12,Kumari Bank Limited,2080(03),31596,45279,8.83,12.65,326283,322140,289388,287934,88.68,24.29,20.01,10.9,4.98,4.77,,30.63,157536
13,Laxmi Sunrise Bank Limited,2080(03),31865,41890,10.22,13.43,300310,293237,255858,254268,82.85,27.89,21.87,10.78,4.52,2.81,,28.13,195060
14,Siddhartha Bank Limited,2080(03),21919,29107,9.44,12.53,228568,223432,190875,189656,79.14,30.94,30.35,9.92,4,2.01,,29.32,135704
15,Global IME Bank Limited,2080(03),50332,61499,10.94,13.37,439349,435134,374356,373325,83.47,30.34,25.24,10.08,4.96,3.08,,26.32,282473
16,Citizens Bank International Limited,2080(03),19059,23155,10.14,12.32,171957,167981,143574,143574,84.73,26.27,22.02,10.51,4,3.19,,30.18,107233
17,Prime Commercial Bank Limited,2080(03),24570,26785,11.26,12.28,178570,174708,163070,162980,88.72,29.08,21.94,10.57,3.98,4.23,,27.52,84936
18,NMB Bank Limited,2080(03),25064,31279,10.26,12.8,213042,210420,197466,193577,83.45,29.85,25.31,10.24,3.99,2.72,,32.38,133626
19,Prabhu Bank Limited,2080(03),27469,39960,8.91,12.95,295944,293305,242104,242040,83.8,27.14,23.81,10.16,4.86,4.16,,20.89,171048
20,Sanima Bank Limited,2080(03),16888,23668,10.08,14.13,178846,174362,150049,148160,79.03,30.01,28.24,10.15,4,1.3,,28.87,119443
,Sub Total,2080(03),471273,604609,10.31,13.23,4317810,4208448,3697826,3673217,83.96,28.59,23.48,10.14,4.5,3.01,,26.9,2540249
,Grand Total,2080(03),556986,707300,10.53,13.37,5086244,4975078,4315381,4290768,83,29.1,24.35,9.98,4.45,2.98,,29.7,3091766
1,Nepal Bank Limited,2080(06),24483,30590,11.01,13.76,252324,251277,188683,188680,75.1,34.34,29.12,9.19,3.9,3.84,,38.96,217785
2,Rastriya Banijya Bank,2080(06),30418,35674,10.96,12.85,326859,325707,252211,252211,76.76,29.58,27.09,8.32,3.99,3.61,,37.73,211436
3,Agriculture Development Bank,2080(06),29242,34191,11.59,13.55,209393,209181,188823,188823,81.32,30.73,26.98,10.38,3.82,5.33,,65.02,134397
,Sub Total,2080(06),84143,100455,11.19,13.36,788577,786166,629717,629714,77.54,31.41,27.71,9.19,3.96,4.2,,46.23,563618
4,Nabil Bank Limited,2080(06),47256,56917,9.85,11.86,419473,407589,362195,357970,86.53,24.67,21.91,9.57,3.99,3.69,,25.78,236547
5,Nepal Investment Mega Bank Limited,2080(06),48852,58038,11.4,13.54,365180,355069,321409,316184,85.46,29.86,21.46,9.95,4.61,4.83,,25.36,224142
6,Standard Chartered Bank Nepal Limite,2080(06),19238,23042,14.32,17.15,124052,102663,93209,92101,72.15,43.98,30.64,8.42,3.93,1.1,,20.7,66795
7,Himalayan Bank Limited,2080(06),28706,37747,9.43,12.41,283431,265763,246022,245989,84.3,27.35,20.41,10.85,4.85,4.67,,25.69,141803
8,Nepal SBI Bank Limited,2080(06),16640,22014,10.06,13.31,160585,154538,124961,122374,76.32,37.01,32.04,10.09,3.99,2.35,,30.37,80432
9,Everest Bank Limited,2080(06),22825,27204,11.01,13.13,214967,212907,174222,172309,82.94,31.44,27.13,9.7,4,0.9,,22.34,137918
10,NIC ASIA Bank Limited,2080(06),24349,34176,8.73,12.25,364317,363436,303404,303404,80.47,23.6,24.85,10.56,3.99,1.37,,28.58,218583
11,Machhapuchhre Bank Limited,2080(06),14330,21467,8.79,13.17,152042,147538,132392,132020,83.58,23.88,23.06,9.81,3.99,2.56,,26.49,104577
12,Kumari Bank Limited,2080(06),30353,44669,8.21,12.08,333198,327480,295352,293931,86.05,25.46,20.8,10.91,4.3,4.89,,32,170082
13,Laxmi Sunrise Bank Limited,2080(06),31245,40871,9.83,12.85,295686,288573,257118,255203,83.12,25.69,21.48,10.8,4.41,4.69,,26.88,197033
14,Siddhartha Bank Limited,2080(06),21455,28301,9.15,12.07,219393,216213,194368,193055,81.1,26.75,29.93,9.53,3.96,3.44,,29.42,135889
15,Global IME Bank Limited,2080(06),50631,61878,10.86,13.27,456240,451607,375914,372933,81.17,33.05,27.73,10.02,4.34,4.38,,26.64,294107
16,Citizens Bank International Limited,2080(06),17823,25409,9.18,13.09,174238,169990,145989,145989,82.9,26.05,23.72,10.6,3.87,3.97,,30.31,109255
17,Prime Commercial Bank Limited,2080(06),25225,27933,11.09,12.28,200165,195409,176106,175984,83.21,29.88,28.19,10.64,3.9,3.67,,28.6,95128
18,NMB Bank Limited,2080(06),24929,32169,9.96,12.85,204019,201120,200343,196958,86.39,24.57,22.76,9.57,3.99,2.84,,32.65,130526
19,Prabhu Bank Limited,2080(06),27721,39101,8.92,12.58,281494,278746,240001,239510,84.87,24,21.72,10.14,4.95,3.97,,20.47,171065
20,Sanima Bank Limited,2080(06),17601,24029,10.09,13.77,186645,181822,154501,152579,76.95,30.23,27.74,9.75,4,1.79,,29.21,122088
,Sub Total,2080(06),469179,604965,9.97,12.85,4435124,4320461,3797507,3768491,82.86,28.04,24.41,10.13,4.24,3.51,,27.11,2635969
,Grand Total,2080(06),553322,705420,10.13,12.92,5223701,5106627,4427224,4398205,82.07,28.55,24.91,9.98,4.21,3.61,,29.79,3199587
1,Nepal Bank Limited,2080(09),23740,29875,10.43,13.13,258893,257911,190282,190279,73.19,34.83,32.16,8.55,3.85,4.5,1.71,40.03,207304
2,Rastriya Banijya Bank,2080(09),28597,33852,10.37,12.27,338445,337007,256705,256695,75.36,28.11,28.79,7.9,3.97,3.95,1.25,38.5,222985
3,Agriculture Development Bank,2080(09),29857,34737,11.45,13.32,229590,229071,192133,192133,78.65,36.95,33.76,9.82,3.97,3.02,0.67,66.02,139885
,Sub Total,2080(09),82194,98464,10.75,12.88,826928,823989,639119,639107,75.65,32.67,31.21,8.67,3.98,3.83,1.21,47.11,570174
4,Nabil Bank Limited,2080(09),43569,56351,8.93,11.54,433793,421496,375013,369601,84.95,24.88,23.13,8.88,4,3.8,1.2,26.28,244527
5,Nepal Investment Mega Bank Limited,2080(09),46136,55091,10.64,12.7,392247,377349,330584,325135,81.74,29.56,24.01,9.19,3.97,4.75,1.2,26.56,229487
6,Standard Chartered Bank Nepal Limite,2080(09),17519,21230,13.26,16.07,120590,97531,91830,90126,73.08,39.04,29.11,7.56,4,1.6,0.69,21.55,66358
7,Himalayan Bank Limited,2080(09),25999,34977,8.7,11.7,301145,282487,249952,249910,79.76,30.37,20.78,10.31,4.62,4.95,0.97,27.11,151358
