S. No.,Banks,Year(Month),Solvency Core Capital,Total C a pital Fund,CCAR# (In %),CAR# (In %),Liquidity Total Deposit,LCY Deposit,Total Loan,L C Y L o an,CCD R a t i o * (In %),Net Liquidity (In %),SLR (In %),Base Rate (In %),Spread (In %),NPL* (In %),Net NPL (In %),Total Priority Sector Loan,Public Deposit
8,Nepal SBI Bank Limited,2080(09),16270,21679,9.61,12.81,167456,161270,128153,126138,71.57,37.91,37.25,9.26,3.99,2.29,0.14,32.53,84100
9,Everest Bank Limited,2080(09),22334,26413,10.61,12.55,214840,213160,176790,175062,78.99,35.99,29.3,8.69,4,0.77,0.21,23.16,139049
10,NIC ASIA Bank Limited,2080(09),25179,34482,8.04,11.02,381397,380524,302656,302656,76.86,27.28,26.6,9.68,3.99,1.19,0.45,28.56,218752
11,Machhapuchhre Bank Limited,2080(09),14118,21279,8.66,13.06,156967,154642,132823,132084,80.6,26.37,22.49,9.55,3.99,2.62,1.03,28.02,109998
12,Kumari Bank Limited,2080(09),28670,43114,8.03,12.08,333609,328432,294152,291907,85.24,26.81,20.98,10.28,3.98,4.97,0.67,32.77,178317
13,Laxmi Sunrise Bank Limited,2080(09),30992,40645,9.66,12.67,314765,307322,256243,252773,79.77,28.59,24.43,10.01,4.4,4.67,1.84,26.85,204490
14,Siddhartha Bank Limited,2080(09),21793,27812,9.15,11.68,224232,221824,198723,196847,81.25,25.67,27.4,9.28,3.99,2.56,1.04,29.24,140312
15,Global IME Bank Limited,2080(09),46556,58427,9.85,12.37,468956,463679,385930,382089,80.04,31.41,27.39,9.4,3.99,4.68,1.88,27.51,305046
16,Citizens Bank International Limited,2080(09),17976,25810,9.06,13,177683,172476,152164,152164,83.76,24.75,24.99,9.81,4,4.07,1.91,31.6,111899
17,Prime Commercial Bank Limited,2080(09),24621,27851,10.59,11.98,209073,204597,183008,181621,83.92,30.36,26.94,10.38,3.99,4.07,0.98,29.17,108812
18,NMB Bank Limited,2080(09),23326,32096,9.25,12.73,234594,231150,202522,198453,76.02,32.18,28.69,9.73,3.99,2.86,0.92,32.66,137271
19,Prabhu Bank Limited,2080(09),24909,36232,8.12,11.82,286880,282762,239150,237935,84.34,26.33,21.88,9.42,3.98,4.9,1.8,19.81,173709
20,Sanima Bank Limited,2080(09),17458,23908,9.96,13.64,184533,179784,157028,155224,78.16,27.73,26.55,9.29,4,1.72,0.75,29.16,121110
,Sub Total,2080(09),447426,587398,9.4,12.34,4602761,4480486,3856722,3819726,80.52,29.17,25.46,9.51,4.06,3.6,1.11,27.78,2724592
,Grand Total,2080(09),529619,685862,9.58,12.41,5429689,5304476,4495841,4458832,79.8,29.7,26.32,9.39,4.06,3.63,1.13,30.5,3294766
1,Nepal Bank Ltd.,2080(12),23270,29364,10.38,13.09,262255,261142,197395,197392,72.58,33.83,31,7.99,3.95,4.85,1.42,36.9,215689
2,Rastriya Banijya Bank Ltd.,2080(12),28670,33917,10.43,12.33,369521,368048,260484,260474,68.84,28.37,32.41,7.31,3.82,4.3,1.46,40.96,249197
3,Agricultural Development Bank Ltd.,2080(12),30195,34634,11.36,13.03,228202,227955,197862,197862,76.88,34.02,29.52,8.68,3.92,3.17,0.76,67.1,143047
,Sub Total,2080(12),82136,97915,10.74,12.8,859978,857145,655741,655728,72.28,31.53,31.19,7.91,3.93,4.12,1.24,47.4,607932
4,Nabil Bank Ltd.,2080(12),44562,58795,9.1,12.01,446428,433099,381128,374170,83.97,24.9,24.15,8.13,4,4.04,1.27,25.47,259260
5,Nepal Investment Mega Bank Ltd.,2080(12),45006,57698,10.35,13.27,406409,391909,332837,325926,77.68,33.12,27.25,8.32,4,4.66,1.12,27,240695
6,Standard Chartered Bank Nepal Ltd.,2080(12),18480,22185,13.96,16.76,112552,91485,88435,86179,78.11,42.53,23.75,6.53,4,2.14,0.94,17.25,63532
7,Himalayan Bank Ltd.,2080(12),26389,35343,8.86,11.86,304380,281828,246495,246444,79.14,32.32,22.22,9.52,3.98,4.96,0.69,26.67,153647
8,Nepal SBI Bank Ltd.,2080(12),16737,22130,10,13.22,174478,168311,129022,126567,71.57,39.75,37.53,8.78,3.99,1.98,0.22,32.29,87256
9,Everest Bank Ltd.,2080(12),23039,27244,10.46,12.37,215559,211532,186815,184859,83.42,32.24,27.7,7.53,4,0.7,0.2,23.58,140949
10,NIC ASIA Bank Ltd.,2080(12),24973,34155,8.25,11.29,331754,331486,289296,289296,86.11,20.44,23.43,8.86,3.99,3.08,1.76,22.75,178049
11,Machhapuchhre Bank Ltd.,2080(12),13967,21072,8.8,13.28,152857,150847,130540,130122,83.26,25.18,22.93,8.68,3.98,3.68,1.66,26.99,111185
12,Kumari Bank Ltd.,2080(12),28402,41466,8.03,11.72,333654,328012,295417,293543,85.36,27.41,21.81,9.63,3.97,4.95,0.38,33.26,177651
13,Laxmi Sunrise Bank Ltd.,2080(12),30852,40564,9.48,12.47,315860,308069,257747,254860,78.03,30.86,25.2,9.12,4.41,5.49,2.24,27.49,215396
14,Siddhartha Bank Ltd.,2080(12),22326,28379,9.23,11.73,229953,227862,201073,199300,81.68,26.59,25.66,8.47,3.99,2.52,0.95,29.18,142860
15,Global IME Bank Ltd.,2080(12),46744,56538,9.93,12.01,472868,467654,388792,385491,79.38,32.71,25.02,8.67,3.98,4.74,1.7,27.68,316871
16,Citizens Bank International Ltd.,2080(12),18405,26226,9.15,13.04,184246,179870,156028,156023,84.21,25.61,23.6,8.99,4,3.76,1.69,32.28,122258
17,Prime Commercial Bank Ltd.,2080(12),25007,27686,10.54,11.67,205030,201442,189848,188369,85.1,25.93,25.91,9.27,3.99,4.29,1.02,29.98,108613
18,NMB Bank Ltd.,2080(12),24212,32104,9.68,12.83,226371,222924,201113,197357,79.72,30.09,25.6,8.95,3.99,2.86,0.93,32.43,136017
19,Prabhu Bank Ltd.,2080(12),27223,38582,8.85,12.54,283044,279960,239166,238599,83.09,26.78,24.13,8.48,3.96,4.81,0.63,20.47,174149
20,Sanima Bank Ltd.,2080(12),17703,24196,9.89,13.51,188535,184149,166505,164246,79.33,24.44,25.48,8.31,4,1.89,0.69,32.56,122569
,Sub Total,2080(12),454027,594362,9.52,12.46,4583979,4460437,3880256,3841350,81.26,29.06,25.12,8.68,4.02,3.85,1.12,27.41,2750956
,Grand Total,2080(12),536162,692278,9.69,12.51,5443957,5317582,4535997,4497078,79.85,29.45,26.1,8.56,4.02,3.89,1.14,30.23,3358888
1,Nepal Bank Limited,2081(03),25475,31670,10.95,13.62,283560,282271,207968,207965,72.44,36.66,33.15,7.97,3.95,3.28,0.57,38.02,226201
2,Rastriya Banijya Bank,2081(03),29295,34181,10.21,11.91,430713,429127,261794,261767,60.39,31.3,42.44,6.71,3.98,3.65,1.1,33.25,276292
3,Agriculture Development Bank,2081(03),32174,36702,11.78,13.44,243760,243592,206678,206678,78.46,35.37,30.49,8.09,3.95,3.44,1.32,63.01,150062
,Sub Total,2081(03),86943,102553,10.97,12.94,958033,954990,676440,676410,68.77,33.92,36.62,7.46,3.96,3.47,1,43.62,652555
4,Nabil Bank Limited,2081(03),47453,61088,9.64,12.41,468760,454354,388362,380201,83.6,27.7,25.01,7.42,3.99,3.85,1.07,27.04,275366
5,Nepal Investment Mega Bank Limited,2081(03),46890,59179,10.84,13.67,406808,393454,328860,320057,80.46,32.64,29.67,7.69,4,4.95,1.2,27.42,244793
6,Standard Chartered Bank Nepal Limited,2081(03),19444,23226,14.36,17.16,114826,96220,89737,85072,76.84,42.48,28.33,6.6,4,2.14,0.91,18.32,63488
7,Himalayan Bank Limited,2081(03),26983,35943,9.04,12.04,297725,279201,247109,241370,83.78,29.68,22.26,8.91,3.99,4.91,0.97,26.6,154872
8,Nepal SBI Bank Limited,2081(03),17266,22704,10.1,13.28,175418,168022,132968,130021,73.56,37.25,36.85,8.12,3.99,2,0.26,33.35,89212
9,Everest Bank Limited,2081(03),24016,27850,10.87,12.61,233388,230980,186507,183624,80.27,38.76,28.12,7.29,3.98,0.71,0.26,27.86,148474
10,NIC ASIA Bank Limited,2081(03),24523,32469,8.44,11.18,360538,360345,285333,285333,79.14,28.07,26.4,9.19,3.99,3.41,1.74,23.57,193359
11,Machhapuchhre Bank Limited,2081(03),14819,21925,9.35,13.83,161334,159419,131124,128813,83.21,29.3,25.22,8.13,3.98,3.63,1.5,28.91,116130
12,Kumari Bank Limited,2081(03),30181,43224,8.56,12.26,350756,343545,293415,291388,82.93,30.47,25.54,8.89,3.95,4.95,0.44,33.69,188152
13,Laxmi Sunrise Bank Limited,2081(03),32886,41975,10.27,13.11,333400,325802,258500,255738,77.74,34.08,27.4,8.52,4,4.72,1.87,27.44,220631
14,Siddhartha Bank Limited,2081(03),23614,29729,9.65,12.15,244907,242004,203560,201674,80.2,29.7,25.34,8.1,3.99,2.22,0.75,29.01,151480
15,Global IME Bank Limited,2081(03),49009,58786,10.44,12.53,504890,499832,390767,386122,75.86,37.11,31.15,7.75,3.99,4.37,1.5,26.58,334527
16,Citizens Bank International Limited,2081(03),18865,26704,9.27,13.13,191675,187116,157587,157587,84.07,28.06,24.15,8.28,3.99,4.07,1.52,31.66,131307
17,Prime Commercial Bank Limited,2081(03),26071,28807,10.77,11.9,215599,212693,193927,191796,86.2,27.5,26.61,8.49,3.98,4.67,1.38,30.27,112374
18,NMB Bank Limited,2081(03),24707,32659,9.7,12.82,227106,223761,204608,200925,83.89,29.01,23.2,8.11,3.99,3.27,0.78,27.97,140018
19,Prabhu Bank Limited,2081(03),29184,39985,9.89,13.55,312229,309664,234490,233897,79.79,34.39,28.69,8.02,3.97,4.78,0.67,22.57,183050
20,Sanima Bank Limited,2081(03),18633,24902,10.22,13.66,199379,195530,165782,163875,80.53,29.21,26.47,7.82,4,1.73,0.51,29.92,128056
,Sub Total,2081(03),474544,611157,9.96,12.83,4798738,4681941,3892637,3837494,80.63,31.87,27.15,8.12,3.99,3.81,1.07,27.69,2875289
,Grand Total,2081(03),561487,713709,10.1,12.84,5756771,5636931,4569076,4513904,78.65,32.21,28.73,8.01,3.98,3.76,1.06,29.95,3527845
1,Nepal Bank Limited,2081(06),25196,32636,10.4,13.47,287143,285018,214556,214553,75.31,34.47,31.26,6.72,3.94,3.95,1.2,31.3,240261
2,Rastriya Banijya Bank,2081(06),29129,34850,10.51,12.57,417590,415909,268647,268637,64.12,32.59,36.1,6.05,3.99,4.23,1.51,38.06,289996
3,Agriculture Development Bank,2081(06),31699,36396,12.08,13.87,260649,259534,206242,206242,74.02,35.47,32.05,7.07,3.97,4.78,2.04,60.68,152578
,Sub Total,2081(06),86024,103883,11,13.28,965382,960462,689445,689432,70.19,33.93,33.58,6.54,3.97,4.31,1.57,42.85,682835
4,Nabil Bank Limited,2081(06),49408,63932,9.77,12.64,487569,470816,395890,387761,81.71,27.96,26.39,6.75,3.98,4.24,1.42,28.92,288901
5,Nepal Investment Mega Bank Limited,2081(06),47724,61385,10.4,13.37,436932,405908,346567,335720,79.46,33.28,27.36,7.08,3.99,5.82,1.95,31,254813
6,Standard Chartered Bank Nepal Limite,2081(06),20188,23606,14.96,17.5,115612,101680,91124,87984,76.48,42.83,32.2,5.71,4,1.95,0.72,20.87,67958
7,Himalayan Bank Limited,2081(06),27102,36005,9.19,12.21,331282,308457,241762,236701,73.87,35.94,31.09,8.06,3.95,4.98,0.73,26.96,158995
8,Nepal SBI Bank Limited,2081(06),18218,23788,9.97,13.01,181177,170208,133378,130830,73.51,37.13,35.35,7.53,3.76,1.84,0.28,34.58,91399
9,Everest Bank Limited,2081(06),24281,28637,10.24,12.07,239241,235659,196275,193809,81.37,28.82,25.8,6.58,4,0.77,0.33,31.23,153671
10,NIC ASIA Bank Limited,2081(06),24841,33038,8.81,11.72,342710,342457,271216,271216,79.62,28.18,27.64,8.37,4,4.24,2.08,28.75,202807
11,Machhapuchhre Bank Limited,2081(06),15526,22231,9.38,13.43,169683,167324,137477,134775,82.17,29.49,26.01,7.58,3.99,3.15,1.15,33.74,123962
12,Kumari Bank Limited,2081(06),31127,45342,8.52,12.41,361244,353934,305316,301585,82.88,29.1,31.37,7.48,3.86,4.96,0.82,36.52,189653
13,Laxmi Sunrise Bank Limited,2081(06),33097,42866,9.82,12.71,339198,331431,267284,264216,77.05,32.78,28.72,7.79,4,5.44,2.23,30.26,229539
14,Siddhartha Bank Limited,2081(06),22932,28373,9.21,11.4,246258,244561,209361,206443,81.53,27.91,24.6,7.57,3.99,3.91,1.99,32.16,160893
15,Global IME Bank Limited,2081(06),50688,63178,10,12.46,529615,523259,418628,414644,76.82,34.67,30.15,7.23,3.96,4.67,1.74,30.78,351174
16,Citizens Bank International Limited,2081(06),19069,27228,9.14,13.06,194921,190909,161469,161382,83.65,27.51,23.01,7.92,3.96,5.41,2.39,34.29,137846
17,Prime Commercial Bank Limited,2081(06),27835,31085,11.17,12.47,225156,222157,201791,199155,85.38,26.8,26.03,7.92,3.98,4.86,1.61,31.8,121452
18,NMB Bank Limited,2081(06),25998,34976,9.58,12.9,249100,244028,216424,212009,81.7,29.47,25.69,7.43,3.98,3.63,1.37,31.51,145066
19,Prabhu Bank Limited,2081(06),29253,42044,9.65,13.87,309078,306625,230543,229625,76.01,34.56,31.78,7.65,3.95,4.94,1.4,23.97,188110
20,Sanima Bank Limited,2081(06),18062,24385,9.76,13.18,201533,196537,168052,166264,80.13,28.97,25.56,7.24,4,2.94,1.38,30.85,134860
,Sub Total,2081(06),485348,632097,9.83,12.8,4960310,4815951,3992556,3934117,79.5,31.34,28.21,7.44,3.96,4.28,1.47,30.53,3001098
,Grand Total,2081(06),571372,735980,9.99,12.87,5925692,5776413,4682001,4623549,77.98,31.76,29.1,7.29,3.97,4.28,1.48,32.31,3683933
1,Nepal Bank Limited,2081(09),24874,31965,10.08,12.95,307836,305643,222918,222915,72.96,36.34,32.3,6.16,3.91,4.99,1.79,32.3,259316
2,Rastriya Banijya Bank,2081(09),27315,32376,9.33,11.06,449979,446803,284369,284336,61.99,40.12,38.99,5.44,3.96,4.96,1.92,36.72,302969
3,Agriculture Development Bank,2081(09),30789,35170,11.47,13.1,251662,250568,207759,207759,75.96,31.63,30.45,6.6,3.89,4.9,1.7,58.09,154637
,Sub Total,2081(09),82977,99511,10.27,12.32,1009477,1003013,715046,715010,68.96,36.85,34.81,5.97,3.93,4.95,1.82,41.89,716922
4,Nabil Bank Limited,2081(09),46748,60973,9.04,11.78,489122,472466,410241,399204,82.8,25.94,24.85,6.17,3.74,4.93,1.7,30.28,297362
5,Nepal Investment Mega Bank Limited,2081(09),47049,60619,10.05,12.95,445146,421142,355417,338393,77.98,33.75,29.67,6.43,3.96,5.86,1.62,32.66,259063
6,Standard Chartered Bank Nepal Limited,2081(09),19315,22396,14.61,16.94,124882,105918,88411,85059,67.61,47.36,39.19,5.13,4,1.71,0.58,23.31,69901
7,Himalayan Bank Limited,2081(09),25823,34724,8.63,11.6,304545,279678,247363,238185,78.25,27.02,24.79,7.02,3.98,4.98,1.06,28.52,156012
8,Nepal SBI Bank Limited,2081(09),17707,23425,9.73,12.87,189175,175063,139500,134908,72.04,36.57,36.59,6.96,3.77,3.55,1.75,34.65,93404
9,Everest Bank Limited,2081(09),25121,29911,9.5,11.32,252590,248708,217318,208303,82.91,29.26,24.45,5.66,3.99,0.66,0.22,33.18,155406
10,NIC ASIA Bank Limited,2081(09),24617,32390,8.86,11.65,313911,313519,261110,261110,83.57,25.67,25.36,7.52,4,4.61,1.47,29.12,189828
11,Machhapuchhre Bank Limited,2081(09),15566,22437,9.2,13.26,167219,164770,139501,136223,82.75,27.34,25.79,6.88,3.99,4.54,1.97,33.91,124568
12,Kumari Bank Limited,2081(09),26570,43060,7.23,11.72,366641,356293,305292,302058,83.13,30.61,28.26,7.14,3.51,6.96,1.9,41.93,198050
13,Laxmi Sunrise Bank Limited,2081(09),33484,42431,9.61,12.18,345198,337730,276958,270705,79.25,30.11,28.01,7.17,3.92,5.67,2.11,30.49,235005
14,Siddhartha Bank Limited,2081(09),22774,28166,9.05,11.19,247123,245626,216342,213327,83.68,25.69,24.92,6.93,3.99,4.5,2.11,32.95,162310
15,Global IME Bank Limited,2081(09),52396,64925,10.16,12.59,534074,528422,430502,421711,78.53,33.46,28.48,6.75,3.98,4.86,1.8,31.67,353938
16,Citizens Bank International Limited,2081(09),19342,27577,9.03,12.87,197625,194062,166731,165617,83.79,24.9,23.86,7.3,3.97,4.85,1.68,34.86,138547
17,Prime Commercial Bank Limited,2081(09),27010,30670,10.28,11.67,235747,232053,211703,208254,86.09,26.43,25.75,7.12,3.94,4.96,1.36,32.12,126612
18,NMB Bank Limited,2081(09),26891,35863,9.46,12.62,249413,242175,229479,221978,86.76,24.68,19.95,6.73,3.97,3.96,1.78,32.58,144882
19,Prabhu Bank Limited,2081(09),25914,38273,8.7,12.84,309725,307757,231202,229618,74.95,33.51,32.55,7.06,3.98,5.06,0.62,29.4,189729
20,Sanima Bank Limited,2081(09),18381,24946,9.58,13.01,209423,204109,174516,171777,79.68,28.27,26.43,6.79,4,3.22,1.51,33.05,138341
,Sub Total,2081(09),474707,622785,9.41,12.35,4981560,4829491,4101587,4006431,80.5,29.76,27.25,6.79,3.91,4.69,1.54,32.17,3032957
,Grand Total,2081(09),557685,722296,9.53,12.34,5991037,5832504,4816633,4721441,78.55,30.95,28.56,6.65,3.91,4.73,1.58,33.61,3749880
1,Nepal Bank Limited,2081(12),24809,31884,10.09,12.97,315574,313388,229508,229506,72.87,36.05,31.77,5.96,3.86,5.45,1.75,31.04,264072
2,Rastriya Banijya Bank,2081(12),28080,33496,9.23,11.01,463456,460228,297081,297072,64.13,38.47,34.79,5.02,3.94,4.69,1.41,37.9,322124
3,Agriculture Development Bank,2081(12),31423,35364,11.65,13.12,254952,254234,211102,211102,76.23,33.43,32.38,6.09,3.93,4.98,1.66,56.91,161960
,Sub Total,2081(12),84312,100744,10.28,12.29,1033981,1027851,737691,737680,69.94,36.49,33.26,5.59,3.94,5.01,1.59,41.45,748157
4,Nabil Bank Limited,2081(12),48443,62276,9.12,11.72,510677,492556,421525,409334,82.31,26.38,24.58,5.94,3.57,4.96,1.59,30.62,315523
5,Nepal Investment Mega Bank Limited,2081(12),49364,62640,10.51,13.33,459927,436707,357244,345592,76.63,36.53,29.06,5.99,3.45,6.06,1.53,31.3,270878
6,Standard Chartered Bank Nepal Limited,2081(12),19879,22893,15.15,17.44,124748,106870,90997,87808,70.11,44.3,33.36,5.09,4,1.44,0.25,30.79,73957
7,Himalayan Bank Limited,2081(12),24506,33217,8,10.84,304480,276628,252587,240339,82.44,27.92,20.26,6.77,3.55,7.68,1.79,30.22,157696
8,Nepal SBI Bank Limited,2081(12),17708,23250,9.47,12.44,185749,172650,142025,137448,74.66,34.33,30.41,6.61,3.77,4.06,1.88,35.23,96546
9,Everest Bank Limited,2081(12),26515,34250,9.81,12.67,267817,264143,225847,218780,84.07,27.81,24.36,5.61,3.67,0.64,0.24,33.9,152832
10,NIC ASIA Bank Limited,2081(12),24059,35684,9.05,13.42,297745,297310,248515,248515,84.32,27.03,25.66,7.2,4,5.75,1.92,29.55,186352
11,Machhapuchhre Bank Limited,2081(12),15638,22526,8.8,12.68,171331,168796,146187,138910,84.75,23.82,25.08,6.38,3.87,4.59,1.76,34.45,125520
12,Kumari Bank Limited,2081(12),26692,43157,7.31,11.82,366041,356342,297320,297320,81.56,32.59,29.2,6.78,3.52,6.98,1.93,40.25,199039
13,Laxmi Sunrise Bank Limited,2081(12),34096,43120,9.3,11.76,348291,341358,286454,280032,79.89,26.32,24.04,6.72,3.67,5.86,2.07,30.83,238187
14,Siddhartha Bank Limited,2081(12),23894,29065,9.19,11.18,250490,249159,219714,216998,83.09,26.4,25.49,6.42,3.98,4.04,1.66,31.42,164491
15,Global IME Bank Limited,2081(12),53783,65405,10.17,12.36,537694,531510,438832,428960,78.04,33.03,28.11,6.21,3.79,4.98,1.71,29.8,350449
16,Citizens Bank International Limited,2081(12),19567,27315,8.84,12.34,202254,198958,173567,173308,85.52,24.49,22.45,6.57,3.83,5.71,2.17,33.67,137889
17,Prime Commercial Bank Limited,2081(12),26947,30611,10.02,11.39,249009,244252,220749,217062,84.8,27.81,25.67,6.82,3.65,5.65,1.47,31.51,136313
18,NMB Bank Limited,2081(12),27089,35739,9.23,12.18,272566,265848,237672,231936,83.96,27.35,22.34,6.44,3.8,4.47,2.02,32.35,147213
19,Prabhu Bank Limited,2081(12),26224,38812,8.67,12.84,325479,323939,234101,232086,73.3,36.84,34.13,6.73,3.9,5.09,2.16,30.17,197070
20,Sanima Bank Limited,2081(12),18948,25683,9.54,12.93,215044,210094,182216,178093,81.07,28.58,25.07,6.43,3.6,3.42,1.6,34.2,144878
,Sub Total,2081(12),483353,635642,9.39,12.35,5089341,4937121,4175552,4082520,80.6,30.11,26.39,6.41,3.72,5.05,1.68,32.13,3094834
,Grand Total,2081(12),567665,736386,9.52,12.35,6123322,5964971,4913244,4820200,78.8,31.18,27.41,6.28,3.77,5.05,1.66,33.5,3842991
1,Nepal Bank Limited,2082(03),24341,31622,10.05,13.06,336875,334242,236158,236155,71.1,38.33,35.4,5.58,3.9,4.47,0.79,36.97,283520
2,Rastriya Banijya Bank,2082(03),30037,37622,9.46,11.84,502791,495179,308904,308895,62.27,44.24,40.33,4.78,3.75,3.59,0.88,36.46,342650
3,Agriculture Development Bank,2082(03),32977,36932,11.93,13.36,293733,293292,216018,216018,72.82,37.76,38.95,5.61,3.96,3.26,0.42,59.55,175326
,Sub Total,2082(03),87355,106176,10.45,12.7,1133399,1122713,761080,761068,67.73,40.8,38.22,5.25,3.87,3.77,0.72,43.15,801496
4,Nabil Bank Limited,2082(03),51029,64000,9.52,11.94,532234,516158,433680,418097,82.48,27.31,25.1,5.71,3.57,4.27,0.95,31.65,343384
5,Nepal Investment Mega Bank Limited,2082(03),51787,64091,11.09,13.73,476291,454726,356576,351632,75.72,37.36,33.02,5.83,3.01,5.85,1.35,30.7,284222
6,Standard Chartered Bank Nepal Limited,2082(03),20710,23366,15.8,17.82,127408,109156,88520,83580,70.5,46.33,35.29,4.96,3.53,1.47,0.29,33.08,75852
7,Himalayan Bank Limited,2082(03),25103,33727,8.31,11.16,313060,289081,254337,245773,81.34,30,22.11,6.57,3.29,7.28,1.1,30.21,164583
8,Nepal SBI Bank Limited,2082(03),18127,23669,9.74,12.71,199512,183847,142848,138876,71.52,37.32,34,6.21,3.52,3.35,1.2,33.12,101006
9,Everest Bank Limited,2082(03),28112,35816,10.42,13.28,301154,295704,223673,216229,77.44,38.94,32.12,5.36,3.48,0.38,0.09,30.87,153881
10,NIC ASIA Bank Limited,2082(03),22784,34495,8.87,13.42,323560,323326,239328,239328,76.72,36.19,33.05,7.04,3.99,6.28,1.87,30.85,198123
11,Machhapuchhre Bank Limited,2082(03),16833,23670,9.41,13.23,185856,183333,147057,141292,80.65,31.18,26.75,6.25,3.79,3.83,1.19,34.48,131702
12,Kumari Bank Limited,2082(03),31134,44500,8.94,12.77,379620,370741,292313,290507,77.35,36.59,27.9,6.44,3.59,6.42,0.67,35.99,213977
13,Laxmi Sunrise Bank Limited,2082(03),37037,46009,10.12,12.57,371763,365306,287257,281959,78.63,31.35,28.36,6.49,3.51,4.25,1.05,29.65,250689
14,Siddhartha Bank Limited,2082(03),26380,31422,9.88,11.77,283414,281951,225539,222251,81.03,34.02,26.2,6.42,3.98,2.62,0.66,31.69,176128
15,Global IME Bank Limited,2082(03),56040,68182,10.66,12.97,575052,566990,440622,431726,76.06,37.75,31.17,5.58,3.63,4.87,1.23,29.03,377855
16,Citizens Bank International Limited,2082(03),20093,27989,8.94,12.45,214082,210702,175160,174897,84.45,28.06,23.5,6.25,3.64,4.94,1.44,33.61,144463
17,Prime Commercial Bank Limited,2082(03),28342,32030,10.39,11.74,268021,262727,224948,221401,83.37,27.37,25.41,6.49,3.69,5.56,1.92,31.76,150022
18,NMB Bank Limited,2082(03),28012,36685,9.18,12.03,283656,276577,243300,237676,84.31,27.39,22.92,6.03,3.82,3.72,1.37,31.95,152233
19,Prabhu Bank Limited,2082(03),31366,42772,10.19,13.9,348088,346462,241176,239242,70.78,39.81,36.4,6.67,3.73,4.96,1.06,31.27,211608
20,Sanima Bank Limited,2082(03),19762,26077,9.86,13.01,225482,220754,185732,183065,81.03,30.95,24.56,6.12,3.68,3.01,0.94,32.95,151243
,Sub Total,2082(03),512651,658500,9.96,12.8,5408251,5257543,4202066,4117532,78.48,33.86,28.7,6.14,3.6,4.56,1.11,31.62,3280970
,Grand Total,2082(03),600006,764676,10.03,12.78,6541650,6380256,4963146,4878601,76.63,35.07,30.13,5.99,3.66,4.44,1.05,33.31,4082466